имат,have
заек,rabbit
монета,coin
експлоатация,exploit
достъпен,accessible
организъм,organism
усещане,sensation
частично,partially
на горния етаж,upstairs
изсушени,dried
запазване,conservation
блъскам,shove
заден двор,backyard
харта,charter
печка,stove
съгласие,consent
съдържат,comprise
напомняне,reminder
подобни,alike
поставяне,placement
тесто,dough
внук,grandchild
язовир,dam
съобщава се,reportedly
всеизвестен,well-known
околните,surrounding
екологичен,ecological
облекло,outfit
безпрецедентен,unprecedented
колумнист,columnist
тренировка,workout
предварителен,preliminary
патент,patent
срамежлив,shy
боклук,trash
хора с увреждания,disabled
бруто,gross
по дяволите,damn
хормон,hormone
текстура,texture
молив,pencil
граница,frontier
спрей,spray
разкривам,disclose
попечителство,custody
банкер,banker
звяр,beast
меся се,interfere
осмо,eighth
тетрадка,notebook
контур,outline
посещаемост,attendance
спекулация,speculation
разкривам,uncover
от името,behalf
иновативен,innovative
акула,shark
мелница,mill
инсталация,installation
стимулират,stimulate
етикет,tag
вертикален,vertical
плуване,swimming
флота,fleet
каталог,catalog
аутсайдер,outsider
отчаяно,desperately
позиция,stance
принуждавам,compel
чувствителност,sensitivity
някой ден,someday
моментално,instant
дебют,debut
провъзгласявам,proclaim
в световен мащаб,worldwide
поход,hike
изисква се,required
конфронтация,confrontation
цветен,colorful
конституция,constitution
треньор,trainer
Денят на благодарността,Thanksgiving
аромат,scent
стек,stack
вежда,eyebrow
чувал,sack
престанете,cease
ти наследяваш,inherit
тава,tray
пионер,pioneer
организационни,organizational
учебник,textbook
гаден,nasty
свиване,shrink
възникващи,emerging
точка,dot
пшеница,wheat
свиреп,fierce
предвиждам,envision
рационален,rational
царство,kingdom
пътека,aisle
отслабвам,weaken
протокол,protocol
единствено и само,exclusively
вокал,vocal
пазар,marketplace
открито,openly
несправедлива,unfair
терен,terrain
разгърнете,deploy
рисковано,risky
паста,pasta
жанр,genre
Разсейвам,distract
заслуга,merit
плановик,planner
депресиран,depressed
парче,chunk
най-близо,closest
отстъпка,discount
стълба,ladder
джунгла,jungle
миграция,migration
дишане,breathing
нахлувам,invade
ураган,hurricane
търговец на дребно,retailer
класифицирам,classify
преврат,coup
посланик,ambassador
плътност,density
поддържащ,supportive
любопитство,curiosity
пропуснете,skip
агресия,aggression
стимул,stimulus
журналистика,journalism
робот,robot
потопете се,dip
по същия начин,likewise
неофициален,informal
персийски,Persian
перо,feather
сфера,sphere
затегне,tighten
хваля се,boast
същото,pat
възприеман,perceived
подметка,sole
публичност,publicity
разгънете,unfold
благополучие,well-being
валидност,validity
екосистема,ecosystem
строго,strictly
частично,partial
плевел,weed
съответствие,compliance
ивица,streak
по общо мнение,supposedly
добавен,added
строител,builder
проблясък,glimpse
помещение,premise
специалност,specialty
считам,deem
артефакт,artifact
промъквам се,sneak
маймуна,monkey
наставник,mentor
две трети,two-thirds
слушател,listener
мълния,lightning
законно,legally
ръкав,sleeve
разочарование,disappointment
безпокоя,disturb
ребро,rib
прекомерно,excessive
висока технология,high-tech
отломки,debris
прът,rod
логично,logical
пепел,ash
социално,socially
енория,parish
робство,slavery
празно,blank
стока,commodity
минерал,mineral
глад,hunger
умиращ,dying
развитие,developmental
по-бързо,faster
резервен,spare
наполовина,halfway
равенство,equality
гробище,cemetery
тормоз,harassment
умишлено,deliberately
слава,fame
разкайвам се,regret
поразително,striking
вероятност,likelihood
морков,carrot
отгоре,atop
пътна такса,toll
джанта,rim
смутен,embarrassed
шибан,fucking
придържам,cling
изолиран,isolated
мигам,blink
подозрителен,suspicious
инвалиден стол,wheelchair
отряд,squad
отговарящ на условията,eligible
процесор,processor
потопете се,plunge
демографски,demographic
охладете се,chill
убежище,refuge
управлявам,steer
законодател,legislator
рали,rally
програмиране,programming
веселие,cheer
изход,outlet
непокътнати,intact
продавач,vendor
процъфтявам,thrive
фъстък,peanut
дъвча,chew
изчерпателно,elaborate
зачатие,conception
търг,auction
пържола,steak
спазвам,comply
триумф,triumph
акционер,shareholder
сравними,comparable
транспорт,transport
съвест,conscience
изчисление,calculation
значително,considerably
интервал,interval
драскотина,scratch
буден,awake
юрисдикция,jurisdiction
неизбежно,inevitably
феминистка,feminist
ограничение,constraint
емоционално,emotionally
експедиция,expedition
твърди се,allegedly
сходство,similarity
дупето,butt
капак,lid
насипно състояние,bulk
поръсете,sprinkle
смъртност,mortality
философски,philosophical
преобразуване,conversion
покровител,patron
общински,municipal
черен дроб,liver
хармония,harmony
единствено,solely
толерантност,tolerance
коза,goat
благословение,blessing
банан,banana
дворец,palace
по-рано,formerly
селянин,peasant
чист,neat
баба и дядо,grandparent
законодател,lawmaker
супермаркет,supermarket
круиз,cruise
Подвижен,mobile
календар,calendar
вдовица,widow
депозит,deposit
брада,beard
спирачка,brake
скрининг,screening
импулс,impulse
забранявам,forbid
кожа,fur
брутален,brutal
хищник,predator
мушкам,poke
избирам,opt
доброволен,voluntary
валиден,valid
форум,forum
танцуване,dancing
щастливо,happily
извисявам се,soar
отстраняване,removal
автономия,autonomy
постановявам,enact
резба,thread
забележителност,landmark
нещастен,unhappy
нарушител,offender
идва,coming
частно,privately
фракция,fraction
отличителен,distinctive
туризъм,tourism
праг,threshold
рутинно,routinely
апартамент,suite
регулатор,regulator
слама,straw
богословски,theological
ауспух,exhaust
земно кълбо,globe
чуплив,fragile
възражение,objection
химия,chemistry
старомоден,old-fashioned
пренаселено,crowded
взрив,blast
преобладават,prevail
през нощта,overnight
отказ,denial
отдаване под наем,rental
фантастично,fantastic
фрагмент,fragment
винт,screw
топлина,warmth
бакалавър,undergraduate
главоболие,headache
полицай,policeman
проекция,projection
подходящ,suitable
абитуриентски,graduation
пробивна машина,drill
жесток,cruel
имение,mansion
гроздов,grape
упълномощавам,authorize
вила,cottage
алея,driveway
сексуалност,sexuality
лоялен,loyal
глина,clay
балон,balloon
изобретение,invention
Направи,fare
домашна работа,homework
диск,disc
диван,sofa
наличност,availability
радар,radar
намръщване,frown
възвръщам,regain
пуловер,sweater
рехабилитация,rehabilitation
каучук,rubber
отстъпление,retreat
молекула,molecule
свободно,freely
благоприятен,favorable
стабилно,steadily
интегриран,integrated
младеж,youngster
премия,premium
отчетност,accountability
затрупвам,overwhelm
една трета,one-third
съзерцавам,contemplate
актуализация,update
искра,spark
иронично,ironically
умора,fatigue
спекулирам,speculate
маркер,marker
проповядвам,preach
кофа,bucket
руса,blond
изповед,confession
провокирам,provoke
мрамор,marble
по същество,substantially
защитник,defender
изрично,explicit
обезпокоителен,disturbing
наблюдение,surveillance
магнитен,magnetic
техник,technician
майка,mutter
опустошителен,devastating
заминавам,depart
стрелка,arrow
травма,trauma
съседни,neighboring
накисвам,soak
панделка,ribbon
междувременно,meantime
предавам,transmit
прибиране на реколтата,harvest
последователен,consecutive
координирам,coordinate
шпионин,spy
слот,slot
бунт,riot
хранително вещество,nutrient
гражданство,citizenship
тежко,severely
суверенитет,sovereignty
хребет,ridge
смел,brave
осветление,lighting
посочете,specify
сътрудник,contributor
разочаровам,frustrate
артикулиран,articulate
важното,importantly
транзит,transit
плътен,dense
семинар,seminar
електроника,electronics
слънчево,sunny
къси панталонки,shorts
набъбвам,swell
обвинение,accusation
омекват,soften
изправете,straighten
ужасно,terribly
щека,cue
булка,bride
биография,biography
опасност,hazard
завладяващ,compelling
рядко,seldom
плочка,tile
икономически,economically
честно казано,honestly
обезпокоен,troubled
двадесети,twentieth
балансиран,balanced
чужденец,foreigner
удобство,convenience
наслада,delight
тъкат,weave
дървен материал,timber
да се,till
точно,accurately
апел,plea
крушка,bulb
летене,flying
устойчиви,sustainable
дявол,devil
болт,bolt
товари,cargo
гръбначен стълб,spine
продавач,seller
квалифициран,skilled
управление,managing
морски,marine
организиран,organized
мъгла,fog
дипломат,diplomat
скучно е,boring
някой път,sometime
резюме,summary
мисионерски,missionary
епидемия,epidemic
фатален,fatal
подстригвам,trim
склад,warehouse
ускорявам,accelerate
пеперуда,butterfly
бронз,bronze
удавя се,drown
присъщи,inherent
в национален мащаб,nationwide
плюе,spit
коленичи,kneel
вакуум,vacuum
избрани,selected
диктувам,dictate
