този;this one
отбия;refused
73;73
землище;land
похвала;praise
недоволен;dissatisfied
едновременен;simultaneous
третиране;treatment
пояс;belt
творец;creator
компенсирам;compensate
недоверие;distrust
брутен;gross
бяг;escape
цитат;quote
съперник;rival
въздухоплавателен;aeronautical
св;st
налагане;imposition
цивилен;civilian
last;last
мишка;mouse
промъкна;sneaked
карета;coach
пейка;bench
З;З
Др;Dr.
прекъсвам;interrupt
осми;eighth
изолирам;isolate
y;y
first;first
люксембург;Luxembourg
251;251
доган;dogan
нападам;attack
подводница;submarine
ухиля;dodge
крава;cow
петнайсет;fifteen
гордея;proud
длъжник;debtor
лекция;lecture
търгувам;trade
64;64
притесня;worried
плавателен;navigable
вагон;wagon
пират;pirate
захарен;sugar
оригинал;original
концесионер;concessionaire
догодина;next year
заключителен;final
accessdate;access date
×;×
монитор;monitor
щ;no
занеса;carried away
външно;externally
комисар;Commissioner
блъскам;I'm pushing
писане;writing
благодарен;grateful
препоръчам;I recommend
присвия;prisvija
застраша;threatens
допринеса;contributed
Роланд;Roland
подобрение;improvement
заобикалям;I go around
1996;1996
сравнявам;compare
попълня;fills in
череп;skull
банкнота;banknote
63;63
електроенергия;electricity
клиника;clinic
поделение;division
авторитет;authority
1971;1971
метна;throw
размисъл;reflection
боа;boa
апаратура;equipment
повреда;damage
нахлуя;invading
регулаторен;regulatory
1995;1995
напредна;advanced
заплащам;I pay
огнище;hearth
50%;50%
варирам;I vary
масичка;coffee table
връча;handed over
1992;1992
видим;we see
признат;recognized
звание;title
нарочно;on purpose
синдикат;syndicate
отпия;drank
РЅР°;РЅР °
преглътна;swallowed
йоан;John
устен;oral
бунт;riot
кабел;cable
претърпя;suffered
училищен;school
гараж;garage
квадратен;square
отпадна;dropped out
искра;spark
повик;call
швейцарски;Swiss
фин;fin
облекча;relieved
ужасявам;terrified
дежурен;on duty
________________________________________;________________________________________
ФБР;FBI
борислав;borislav
уиски;whiskey
ценов;prices
светски;secular
долавям;I sense
нотифицирам;notify
разузнавателен;intelligence
доброволец;volunteer
приличен;decent
певица;singer
изпращане;sending
кей;kay
гарантиране;guarantee
местоположение;location
обличам;I dress
увереност;confidence
онлайн;online
благородник;nobleman
Джек;Jack
трон;throne
повишение;increase
поблизо;closer
сенатор;senator
оборудвам;equip
пиле;chicken
царица;queen
опасение;fear
чук;hammer
господарка;mistress
отвлека;distracted
подобро;better
обвия;wrapped
повисока;higher
божествен;divine
излагам;expose
постановка;staging
спасявам;save
принуда;coercion
тегловен;by weight
послужа;will serve
произхождам;originate
противореча;contradicts
разширявам;expand
рог;horn
наляво;to the left
глътка;sip
студио;studio
фокус;focus
стаж;internship
скръб;grief
понижа;lower
рязък;sharp
найнакрая;finally
разправям;I tell
известие;notice
паркирам;I park
посмея;I laughed
интегрирам;integrate
is;is
ахмед;ahmed
вицепремиер;Deputy Prime Minister
посветен;dedicated
изнасям;I export
любя;love
диамант;Diamond
назначаване;appointment
1973;1973
оплача;pays
отдалечавам;I'm moving away
любовник;lover
наклон;slope
автомат;automatic
измия;wash
дяволски;devilish
изплащане;payment
2%;2%
langen;long
еп;ep
идентичност;identity
словакия;Slovakia
двубой;duel
бода;body
плътно;tightly
3%;3%
уверен;confident
божий;of God
крача;I walk
модул;module
стоманен;steel
web;web
скъсам;I break
изсмея;he laughed
кисел;sour
буен;buen
шведски;Swedish
изчисляване;calculation
мириша;smells
удържа;holds
възстановявам;restore
Джейн;Jane
нелегален;illegal
обед;lunch
византийски;Byzantine
илюзия;illusion
сакскобургготски;Saxe-Coburg-Gotha
средновековен;medieval
пресека;intersected
конник;horseman
неправилен;incorrect
изправен;upright
задължавам;I oblige
сещам;I remember
тор;tor
постарая;older
съобразявам;comply
разнообразие;diversity
състезател;racer
ЕТ;ET
професионалист;professional
пластмасов;plastics
поясня;explanation
рисунка;drawing
прозрачност;transparency
наполовина;half
кошмар;nightmare
еднократен;disposable
бележа;mark
вазов;vases
вълчев;wolf
еврейски;Jewish
разсъждавам;I think
ралф;ralph
лабораторен;laboratory
палатка;tent
ямбол;yambol
танц;dance
вдясно;to the right
доверя;trust
мощ;power
осигурен;insured
цвета;colors
въглероден;carbon
сирене;cheese
социално;socially
русенски;Ruse
досетя;I guess
милорд;my lord
редакция;edition
отпреди;from before
пробия;breakthrough
решително;decisively
101;101
откровен;frank
сбъркам;I'm wrong
забраня;prohibition
инжектирам;inject
залагам;I bet
мит;myth
навътре;inside
150;150
доближа;closer
заверя;conspiracy
горчив;bitter
превзема;takes over
посрещам;welcome
1993;1993
въздишка;sigh
брава;lock
любезен;kind
рана;wound
безспорно;indisputably
наследя;inheritance
нахвърля;throws
формулирам;I formulate
момък;boy
1994;1994
заровя;bury
спасов;rescued
дефинирам;I define
отвръщам;I answer
поставяне;placement
G;Mr.
разтревожа;disturbing
IN;IN
обединявам;unite
отче;father
патриарх;patriarch
ръкопис;manuscript
72;72
тепърва;yet
формиране;formation
щото;because
20%;20%
обжалвам;appeal
терапевтичен;therapeutic
стоваря;dumps
жажда;thirst
влача;drag
лишен;deprived
надясно;to the right
счл;art
уместен;appropriate
твърдея;I claim
диабет;diabetes
отмъщение;revenge
орел;eagle
скъпоценен;precious
инстинкт;instinct
тъга;sadness
номенклатура;nomenclature
марко;brand
подбор;selection
бариера;barrier
New;New
наказвам;punish
хаджи;Hajji
анкара;ankara
дърпам;I pull
пораждам;give birth
мъдрост;wisdom
упражняване;exercise
захвърля;discards
Алис;Alice
експлозия;explosion
насреща;opposite
либия;Libya
възбуда;excitement
конкурентен;competitive
di;di
въглища;coal
изборен;elective
смъкна;dropped
±;±
решителен;decisive
сдобия;got
авторски;copyright
преграда;barrier
заместникпредседател;Vice Chairman
улесня;easier
109;109
логик;logic
пренасям;carry
нога;foot
диря;I'm looking for
темп;temp
общуване;communication
недей;do not
съвършен;perfect
х;x
найважното;the most important thing
увисна;hung up
ускоря;accelerates
съвпадам;match
АФП;AFP
забележителен;remarkable
отстъпя;retreats
повисоко;higher
могъщ;mighty
плячка;booty
адекватен;adequate
предписание;prescription
преживяване;experience
холандски;Dutch
занаят;craft
кълбо;orb
кама;kama
мило;cute
сметна;calculated
кауза;cause
рея;рея
танк;tank
смъртоносен;deadly
приватизационен;privatization
анна;Anna
албанец;Albanian
издръжка;alimony
желев;jelly
бей;bay
раздавам;I distribute
b;b
обитател;inhabitant
год;year
челюст;jaw
нефтен;oil
позвъня;I called
комплект;set
относително;relative
подлагам;subject
улуча;ulucha
шепа;a handful
шок;shock
хипотеза;hypothesis
колебая;hesitating
красиво;beautiful
оскар;Oscar
впечатлявам;I impress
композитор;composer
успокоявам;reassure
Джей;Jay
привлекателен;attractive
загадка;mystery
фатален;fatal
полуостров;peninsula
";;";";;"
вдовица;widow
интравенозен;intravenous
блесна;flashed
струя;jet
103;103
джим;Jim
прекъсване;interruption
обективен;objective
платежен;payment
осведомя;informing
остатъчен;residual
скот;cattle
яхта;yacht
брашно;flour
засилвам;amplify
одеяло;blanket
дългогодишен;long-term
оповестя;announce
маймуна;monkey
упражнение;exercise
пресичам;I cross
свивам;shrink
отчетен;reported
1905;1905
ефективно;effectively
морган;morgan
кантора;office
подкожен;subcutaneous
no;no
добия;get
променям;I'm changing
петнадесет;fifteen
подхвана;undertook
основател;founder
косовски;Kosovo
нервно;nervous
плътност;density
роб;slave
измърморя;he muttered
строен;slender
копеле;bastard
математик;mathematician
седло;saddle
раковски;rakovski
рецепта;recipe
1945;1945
референдум;referendum
масивен;massive
квартира;apartment
тарифен;tariff
Гай;Guy
координация;coordination
обжалване;appeal
деля;sharing
кардинал;cardinal
хит;hit
меко;soft
дка;dka
компенсация;compensation
коприна;silk
завършване;completion
идентификация;identification
компромис;compromise
тълкуване;interpretation
застраховател;insurer
количка;stroller
измерение;dimension
изпускам;I miss
грузия;Georgia
крехък;fragile
написан;written
обитавам;inhabit
внук;grandson
88;88
почистване;cleaning
тенис;tennis
ислямски;Islamic
маркировка;marking
замеся;knead
републикански;republican
бригада;brigade
съгласувам;agree
китара;guitar
тържество;celebration
божидар;bozhidar
живков;живков
унищожаване;destruction
течен;liquid
фенер;lantern
шкаф;closet
подпра;support
преподавам;I teach
клауза;clause
спартак;Spartacus
недоволство;dissatisfaction
подкрепям;I support
количествен;quantitative
лондонски;London
преставам;I stop
последователен;consistent
поемам;I take
обработвам;process
отсрещен;opposite
психологически;psychologically
локален;local
кремиковци;Kremikovtzi
грозде;grapes
бера;bera
54;54
кирилов;Cyril
смутя;embarrassed
съпътствам;accompany
бъркам;I'm confused
шлем;helmet
частност;in particular
лудост;madness
залез;sunset
царя;the king
частичен;partial
доброволно;voluntarily
разумно;reasonable
смутен;confused
джентълмен;gentleman
мирис;smell
негър;nigger
следствен;investigative
07;7
фотография;photography
нетърпеливо;impatiently
валери;valeri
видео;video
повисоки;higher
симеонов;simeonov
повдигам;I raise
2012;2012
бедност;poverty
многото;the many
максимум;maximum
KАПИТАЛ;CAPITAL
сериен;serial
Брайън;Brian
отстъпка;discount
66;66
Крис;Chris
постановя;decides
въглеводород;hydrocarbon
найдоброто;the best
наслаждавам;enjoy
акциз;excise duty
плътен;dense
ива;willow
стачка;strike
издърпам;pull out
ковчег;ark
преговарям;I'm negotiating
забележителност;landmark
монтаж;installation
комунист;communist
извинение;apology
per;per
захвана;captured
подскоча;jumps up
джунгла;the jungle
любимец;pet
сборник;collection
речник;dictionary
уви;alas
корпорация;corporation
научавам;I'm learning
разнообразен;diverse
фармацевтичен;pharmaceutical
Саймън;Simon
задето;because
щит;shield
учудване;amazement
АД;AD
вляво;to the left
палестински;Palestinian
пейзаж;landscape
светна;lit up
вицепрезидент;vice president
допринасям;I contribute
прегледам;review
регламентирам;regulate
1%;1%
несъстоятелност;bankruptcy
създание;creature
залича;deleted
чакал;waited
Обама;Obama
колония;colony
ани;ani
действувам;act
упомена;mentioned
коля;kolya
мадрид;Madrid
револвер;revolver
желан;desired
бутон;button
хитър;cunning
начинание;undertaking
пласт;layer
ex;ex
осветление;lighting
излиза;comes out
горещо;hot
смущение;embarrassment
изненадвам;surprise
относителен;relative
календар;calendar
преструвам;pretend
актуализирам;update
кацна;landed
надпревара;race
дарение;donation
всеобщ;universal
охранявам;guard
питие;drink
Бош;Bosch
Times;Times
USA;USA
нина;Nina
управленски;managerial
Сейнт;Saint
кофа;bucket
морал;morality
Round;Round
смущавам;embarrass
помалка;less
тиран;tyrant
VI;VI
шампионат;championship
изкачвам;climb
далечина;distance
неправителствен;non-governmental
истанбул;Istanbul
найкъсно;at the latest
привличане;attraction
неизбежен;inevitable
кладенец;well
ливада;meadow
семинар;seminar
позитивен;positive
In;In
изписвам;write out
груп;groups
младенов;mladenov
абсурден;absurd
удължа;extended
буден;awake
механичен;mechanical
милен;milen
репутация;reputation
EC;EC
полошо;worse
Джими;Jimmy
комуникационен;communication
присъстващ;present
битие;being
бал;ball
драматичен;dramatic
организационен;organizational
безброй;countless
стоилов;stoilov
изискам;I demand
объркан;confused
104;104
отблъсна;repulsed
методий;methods
рота;company
стичам;I'm running out
Link;Link
вгледам;I look
климент;clement
предпоставка;prerequisite
аха;AHA
европеец;European
76;76
неколцина;a few
бон;bon
характеризирам;characterize
an;an
троен;triple
проследяване;tracking
разпространя;spread
убеждавам;persuade
яростен;furious
Лий;Lee
радев;I was glad
шотландия;Scotland
артикул;article
венец;wreath
таксиметров;taximeters
проучвам;research
реактор;reactor
пепел;ashes
прониквам;penetrate
уплашен;scared
издателски;publishing
отместя;revenge
помалки;little by little
звъня;I'm calling
откарам;take away
идване;coming
консултирам;I consult
университетски;university
сливане;merger
смесвам;mix
ох;Oh
4%;4%
ема;there is
злота;zlotys
сърдя;angry
африкански;African
пленя;captivity
опозиционен;opposition
физиономия;physiognomy
зловещ;sinister
популярност;popularity
доминик;Dominic
султан;sultan
тренировка;training
доскоро;until recently
реколта;harvest
ех;ex
тераса;terrace
Сен;Sen.
разочарование;disappointment
6%;6%
алергичен;allergic
окача;hang up
присъщ;inherent
трескав;feverish
непоносим;unbearable
натам;there
движене;movement
записан;recorded
отмяна;cancellation
преценявам;I judge
изпадам;I fall out
укрепване;strengthening
Хр;Hr
преструктуриране;restructuring
настигна;caught up
изработване;making
фермер;farmer
горкия;poor
400;400
дебна;lurking
грижливо;carefully
здравей;hello
магически;magically
графиня;Countess
органичен;organic
панаир;fair
пер;lane
видимо;apparently
отлича;distinguished
спедиторски;forwarding
фураж;fodder
ранг;rank
бензин;gasoline
недостиг;lack
находка;find
прикривам;cover up
ДСБ;DSB
сляп;blind
династия;dynasty
почин;initiative
прякор;alias
хумор;humor
споря;disputes
док;doc
получател;recipient
слон;elephant
доминирам;I dominate
book;book
безплатно;for free
разпореждане;disposition
und;and
солун;Thessaloniki
Bulgaria;Bulgaria
хепатит;hepatitis
еквивалентен;equivalent
пшеница;wheat
секретен;secret
нрав;temperament
сбогом;farewell
сближаване;convergence
вносен;imported
дружба;friendship
изгрев;sunrise
уговоря;persuade
десети;tenth
ответница;defendant
74;74
девети;ninth
универсален;Universal
просна;simple
раса;race
стръмен;steep
важност;importance
устойчивост;sustainability
FA;FA
мълчалив;silent
опасявам;I'm afraid
УС;US
бутна;push
чифт;pair
71;71
порасна;grew up
сметен;considered
дракон;dragon
демократически;democratically
махала;mahala
дванайсет;twelve
подножие;foot
магаре;donkey
БТА;BTA
Хърмаяни;Hermione
комплексен;complex
могила;grave
побягна;ran away
неподвижно;motionless
картон;cardboard
излишък;surplus
пребледнея;I turned pale
видение;vision
коледен;Christmas
литва;Lithuania
овчаров;shepherds
ожена;married
блато;swamp
преместване;relocation
кметство;town hall
архитектурен;architectural
залея;flood
приключвам;I'm finishing
денонощие;around the clock
люде;people
предел;limit
диван;sofa
чин;rank
неофициален;unofficial
аптека;pharmacy
трагичен;tragic
мито;duty
звезден;stellar
близнак;twin
дузина;a dozen
900;900
скандален;scandalous
накратко;in short
128;128
авиокомпания;airline
канцелария;office
at;at
пълзя;crawl
чорап;sock
настроен;set up
седемдесет;seventy
КН;CN
развод;divorce
славейков;slaveykov
дрезгав;hoarse
ерик;Eric
краткосрочен;short-term
изкарвам;make money
московски;Moscow
преобразуване;conversion
погаля;caress
апетит;appetite
левица;left
уличка;alley
бандит;bandit
ракия;brandy
хармонизирам;harmonize
пиене;drinking
депресия;depression
орбита;orbit
вперя;forward
изплащам;I pay
съмнителен;dubious
елегантен;elegant
чашка;cup
академичен;academic
циганин;gypsy
болезнен;painful
фискален;fiscal
гробница;tomb
108;108
ЦРУ;CIA
ритуал;ritual
ева;eva
изтрия;deleted
коалиционен;coalition
приветствам;greetings
ромски;Roma
ядро;core
марин;marine
осемдесет;eighty
вечерям;I'm having dinner
задоволство;satisfaction
хю;huh
чувствителност;sensitivity
джейк;Jake
рев;rev
1912;1912
аудитория;audience
янев;янев
иракски;Iraqi
визита;visit
закарам;I drive
впечатля;impress
анемия;anemia
ирина;Irina
принуждавам;I force
впия;впия
размахвам;waving
223;223
отличие;difference
съвкупност;aggregate
имидж;image
поза;pose
68;68
пенсионер;retired
рекорден;record
старозагорски;Stara Zagora
композиция;composition
шериф;sheriff
договореност;agreement
доброволен;voluntary
съхраняване;storage
извадка;sample
настояще;present
случайност;coincidence
своеобразен;peculiar
функционален;functional
7%;7%
единство;unity
обширен;extensive
помпа;pump
принудителен;forced
потвърждение;confirmation
динамичен;dynamic
изхвърляне;disposal
лапа;paw
отлагам;I postpone
различа;differs
етнография;ethnography
душевен;soulful
недостъпен;inaccessible
мозъчен;brain
робот;robot
чекмедже;drawer
PR;PR
бавя;slow down
запознат;familiar
гневно;angrily
утвърждавам;affirm
58;58
уточнявам;specify
съставлявам;compose
шампионски;champion
стъпвам;I step
доходност;profitability
8%;8%
OF;OF
форд;ford
психология;psychology
генетичен;genetic
z;z
валидност;validity
жалко;pity
картичка;card
адвокатски;lawyer
електричество;electricity
потисна;suppressed
°C;° C
взра;vzra
бъбрек;kidney
тревожен;anxious
подълго;for a long time
възпитание;education
отработя;will work
безработен;unemployed
палец;finger
протеин;protein
пропаст;abyss
подхождам;I fit
добрев;good
пиано;piano
самоубийство;suicide
схвана;grasped
ровя;I dig
ресторантьорски;restaurant
застраховане;insurance
малцина;few
северозападен;northwest
пълномощен;proxy
плах;timid
мероприятие;event
спортист;athlete
възторг;delight
изчервя;blush
събуждам;wake up
обгърна;wrapped up
фантазия;fantasy
парцел;plot
конски;horse
спирачка;brake
прекратявам;terminate
Оливър;Oliver
критикувам;criticize
подготвям;I am preparing
светкавица;flash
самочувствие;well-being
потъвам;sink
проумея;I understand
пенев;penev
цветанов;flowers
породя;breed
dl;dl
провокирам;provoke
джип;jeep
сараево;Sarajevo
вещица;witch
прогрес;progress
предшественик;predecessor
повторен;repeated
Шон;Sean
обуча;training
h;h
алкохолен;alcoholic
делчев;delchev
изоставен;abandoned
подскачам;I jump
исус;Jesus
команда;team
сегмент;segment
скривам;I'm hiding
фоайе;lobby
Джеф;Jeff
тълкувам;I interpret
снежен;snowy
констатация;statement
Y;Y
скъпо;expensive
mmol;mmol
ежегоден;annually
посред;in the middle
датирам;I date
португалски;Portugal
пуск;start
оспорвам;contest
гъба;sponge
стоун;stone
привилегия;privilege
губернатор;the governor
прежда;yarn
вертикален;vertical
синдром;syndrome
печатен;printed
галя;галя
касая;touching
дотолкова;so much so
отровен;poisonous
красен;beautiful
найдобрият;the best
латвия;Latvia
вероятен;probable
покоен;deceased
излишно;superfluous
загивам;I'm dying
THE;THE
INCI;INCI
фигурирам;figure
отметна;marked
изгубен;lost
изрично;expressly
авария;accident
трасе;route
кълн;sprout
наймалкото;at least
притеснение;anxiety
самота;loneliness
дивеч;game
обаждане;call
нарисувам;draw
учудвам;I wonder
треперещ;trembling
извлека;extracted
потреперя;trembled
преживявам;I experience
албена;albena
затваряне;closing
неблагоприятен;unfavorable
лекота;ease
координирам;coordinate
великотърновски;Veliko Tarnovo
яма;pit
предсрочен;premature
кукла;doll
дол;USD
пипна;he touched
размяна;exchange
насред;in the middle
греда;beam
любен;love
изплувам;emerge
синтетичен;synthetic
86;86
зачакам;I'm waiting
обиколя;around
департамент;department
съкращение;abbreviation
Грейс;Grace
подразделение;division
триста;three hundred
присъединявам;join
уведомление;notification
лазар;lazarus
Карлос;Carlos
светец;saint
зрение;vision
владение;possession
цонев;цонев
свързване;connection
харча;food
разплача;pays off
секретарка;Secretary
красавица;beauty
адаптирам;adapt
янков;Yankees
Мишел;Michelle
полица;shelf
идентификационен;identification
магнитен;magnetic
въобразявам;I imagine
грип;flu
иззад;behind
тренирам;I train
r;r
понасям;I endure
колегия;college
противоположен;opposite
France;France
последователно;consistently
83;83
земетресение;earthquake
оправдавам;I justify
съхраня;store
шофиране;driving
грам;grams
набирам;dial
продължаване;continued
проклятие;the curse
адски;hell
възникване;occurrence
Колин;Colin
адаптиране;adaptation
во;in
снабдя;supplies
апостол;the apostle
танец;dance
79;79
безвъзмезден;gratuitous
бор;boron
изричен;explicit
люлин;люлин
раздам;раздам
дивидент;dividend
излъча;broadcast
непрестанно;constantly
съвместимост;compatibility
състезавам;I compete
наподобявам;resemble
подобра;Better
силистра;silistra
прощавам;I forgive
лула;pipe
лягам;I go to bed
оглавявам;head
петстотин;five hundred
небрежно;carelessly
засилване;strengthening
найдобрия;the best
навредя;harm
романтичен;romantic
сабя;saber
никол;Nicole
демонстрация;demonstration
факс;fax
мак;poppy
тил;rear
исландия;Iceland
браун;brown
лисица;fox
спогодба;agreement
мустак;moustache
партиден;batch
пирамида;pyramid
заснема;captures
каюта;cabin
ловя;I catch
подпомогна;helped
бас;bass
подобри;improve
найголемия;the biggest
изящен;elegant
мърдам;I'm moving
акционерен;shareholder
нидерландия;the Netherlands
козметичен;cosmetic
надигам;I raise
почтен;honest
мажоритарен;majority
преводач;translator
вратар;goalkeeper
югозападен;southwest
примиря;reconciles
United;United
разположа;disposed of
корабен;ship
насекомо;insect
поглъщам;swallow
зарежа;dumps
инхибитори;inhibitors
съзра;saw
вуйчо;uncle
маргарита;margarita
чий;whose
вена;vein
закъснение;delay
любезно;kindly
сп;Mr.
прасе;pig
разград;decomposition
нарушаване;violation
режа;cut
Ел;El
негодник;scoundrel
НС;NA
съставяне;compilation
възхищавам;I admire
пребивавам;reside
учителка;teacher
потупам;pat
страдане;suffering
гъвкав;flexible
естония;estonia
мюсюлмански;Muslim
отсега;from now
хапна;he ate
вана;bath
изрева;roared
пийна;drunk
чикаго;Chicago
разрешен;allowed
разсея;distraction
внушителен;impressive
визия;vision
изчезване;disappearance
либерален;liberal
лишаване;deprivation
Ди;Di
идентификатор;identifier
табела;plate
дочуя;дочуя
сако;jacket
зависим;we depend
консорциум;consortium
найразлични;very different
ВСС;BCC
зърнен;cereal
Андрю;Andrew
италианец;Italian
страдание;suffering
County;County
усвояване;absorption
покой;peace
ритам;rhythm
мари;mari
веранда;porchway
опълчение;militia
поскъпване;appreciation
изучаване;study
скача;jumps
екстракт;extract
олимпиада;Olympics
сос;sauce
отлагане;postponement
изказвам;I express
козлодуй;kozloduy
превеждам;translate
медикамент;medicine
разпространен;common
топлофикация;district heating
томов;volumes
08;8
International;International
Стен;Sten
трясък;crash
пура;cigar
цветков;flowers
булевард;boulevard
крайбрежен;coastal
разпръсна;scattered
изстрелям;I shoot
обновяване;update
дъга;rainbow
популация;population
шепот;whisper
печка;stove
уикенд;weekend
константинов;Constantine
каруца;cart
заслужа;deserved
пука;puka
2013;2013
227;227
андреев;andreev
отсъствам;I am absent
прекомерен;excessive
ориз;rice
препятствие;obstacle
призив;call
асенов;asenov
борсов;stock exchanges
спешно;urgent
югославски;Yugoslav
коза;goat
силует;silhouette
мъртвец;dead man
националност;nationality
модернизация;modernization
Дани;Dani
предпиша;prescribe
дончев;donchev
шумно;noisy
парижки;Parisian
аналитичен;analytical
Петербург;Petersburg
гаден;nasty
кеш;cache
полудея;madness
метро;subway
спорен;controversial
лазаров;lazarus
ядосан;angry
празнувам;I celebrate
бръкна;he reached out
договорен;agreed
сбор;collection
теоретичен;theoretical
анри;Henry
имунитет;immunity
разгневя;angry
Мърсър;Mercer
неприятел;enemy
отмъстя;revenge
НДК;National Palace of Culture
яке;jacket
index;index
подскажа;prompt
IC;IC
гостувам;I'm visiting
хваля;wave
несигурен;uncertain
ники;ники
поверя;trust
жрец;priest
неведнъж;more than once
читалище;community center
гръмна;exploded
преобладавам;prevail
ОДС;UDF
будя;wake up
неизбежно;inevitably
съдействам;I assist
институционален;institutional
протичам;leak
pdf;pdf
насаме;alone
струпам;scab
реден;regular
състоящ;consisting
шатра;tent
възхищение;admiration
оттегляне;withdrawal
муха;fly
размах;scope
четирийсет;forty
загреб;zagreb
залог;bet
Атос;Athos
легендарен;legendary
боян;боян
изтъквам;I point out
послушам;I will listen
демократ;democrat
as;as
броня;armor
прислужник;servant
тясно;closely
нели;not
анди;andy
1943;1943
ястие;dish
авариен;emergency
полов;sex
подвиг;feat
414;414
социализъм;socialism
рибавирин;ribavirin
тютюнев;tobacco
автономен;autonomous
кош;basket
хлорид;chloride
ислям;Islam
del;del
интелигентен;intelligent
фантастичен;fantastic
дъщерен;daughter
богиня;goddess
раздвижа;moves
Седай;Sit down
климатичен;climatic
патрик;patrick
съчувствие;sympathy
поваля;knock down
приложен;attached
Никълъс;Nicholas
беля;white
попълвам;fill in
100%;100%
мониторинг;monitoring
стимул;stimulus
замествам;replace
лък;bow
произлизам;I come from
хоризонтален;horizontal
69;69
витамин;vitamin
пехотен;infantry
шибам;shibam
фракция;faction
алуминиев;aluminum
благо;good
ирония;irony
регулатор;regulator
строй;system
глезен;ankle
загриженост;concern
ким;kim
1934;1934
застина;froze
часов;hours
пророк;Prophet
цветан;flower
въоръжение;armament
презрение;contempt
скут;lap
автентичен;authentic
отвращение;disgust
шокирам;I'm shocked
BG;BG
академик;academician
отделяне;separation
свидетелствам;I testify
iii;iii
избърша;wiped
напрегнато;tense
унищожавам;destroy
нанасям;I apply
обявен;announced
пролетен;spring
украса;decoration
хуманитарен;humanitarian
найденов;found
барабан;drum
EINECS;EINECS
наивен;naive
катедра;department
национал;national
общностен;community
уебсайт;website
УЕФА;UEFA
току;current
спектър;spectrum
хага;haga
оплакване;complaint
царевица;corn
усмихнат;smiling
потрудно;more difficult
кокошка;hen
надам;I will give
всякога;always
неспокоен;restless
пропускам;I miss
размърдам;I stir
закрепя;fixes
1961;1961
близко;close
обезпечение;collateral
сблъскам;collide
говедо;cattle
предявя;claims
брачен;married
такси;taxi
пронижа;pierces
клип;clip
плевенски;Pleven
cellspacing;cellspacing
жак;jack
сервиз;service
асоцииране;association
изд;ed
прескоча;skips
явен;obvious
du;du
антидъмпингов;anti-dumping
деликатен;delicate
пробвам;I'm trying
зяпна;gaped
памук;cotton
вадя;вадя
ваканция;vacation
елементарен;elementary
неуспех;failure
вкопча;clutching
софиянски;Sofia
зора;dawn
свински;pork
назначение;appointment
роджър;roger
мъничък;tiny
Раул;Raoul
предполагаем;we assume
оцеляване;survival
30%;30%
старо;old
кураж;courage
оранжев;orange
довечера;tonight
затичам;I run
обрив;rash
картонен;cardboard
комунизъм;communism
неизползван;unused
алианс;alliance
потръпна;he shuddered
радикален;radical
яка;which
процесуален;procedural
племенник;nephew
бележник;notebook
адмирал;admiral
периодичен;periodic
табло;scoreboard
максим;max
записване;recording
препоръчителен;recommended
кърма;breast milk
мелодия;melody
набор;set
античен;antique
наддаване;bidding
необясним;inexplicable
прикритие;cover
цент;cent
десница;right
ниша;niche
очарователен;charming
египетски;Egyptian
храбър;brave
гордо;proudly
лозе;vine
експериментален;experimental
препускам;I run
светло;light
Рё;Рё
запечатам;seal
равенство;equality
азбука;alphabet
воювам;I'm at war
разноски;expenses
търговище;marketplace
обиден;offended
кръстя;baptize
Поскоро;Rather
ера;era
фирмен;company
серумен;serum
русев;русев
дефиниция;definition
шаблон;template
съчетание;combination
тире;dash
надморски;above sea level
рилски;Rila
рибар;fisherman
бюлетин;newsletter
вой;howl
надежден;reliable
емилия;emilia
нежност;tenderness
парти;party
топлинен;thermal
очертание;outline
преливам;overflow
чаршаф;sheet
1878;1878
25%;25%
уреждане;settlement
сънародник;compatriot
медик;medic
нает;hired
реализиране;realization
джамия;mosque
концентрирам;concentrate
откъсвам;tear off
пекин;Beijing
феномен;phenomenon
ndash;ndash
прикова;riveted
моментално;instantly
задействам;trigger
пране;laundry
заплашителен;threatening
професионално;Professionally
грешен;wrong
излея;poured out
ненужен;unnecessary
украински;Ukrainian
опирам;I resist
идеал;ideal
немец;German
удостоверявам;certify
ездач;rider
филтър;filter
нотариален;notarial
покъсен;late
вградя;built-in
турне;tour
барселона;barcelona
йосиф;Joseph
ЕЦБ;ECB
общувам;communicate
подсъдим;defendant
побеждавам;win
крясък;scream
вмъкна;inserted
Light;Light
усвоя;assimilated
уеб;web
шпионин;spy
идиот;idiot
абонат;subscriber
комедия;comedy
мафия;mafia
навърша;done
основаване;foundation
Нечести;Uncommon
конец;the end
найвисок;the highest
шепна;she whispered
коста;cost
хижа;hut
предпочитане;preferably
OU;OU
бройка;number
ярко;bright
експортен;export
жури;jury
пренебрегвам;I ignore
сервирам;I serve
чек;check
сбогувам;goodbye
балансирам;I balance
процедурен;procedural
юзда;bridle
Сали;Sally
изненадващо;surprisingly
престижен;prestigious
подкуп;bribery
подзаконов;bylaws
остарея;obsolete
безсмислен;meaningless
косвен;indirect
придвижвам;I move
сеньор;senor
испанец;Hispanic
североизточен;northeast
вчерашен;yesterday
балон;balloon
регистрационен;registration
интерпретация;interpretation
кипърски;Cypriot
форт;fort
произшествие;accident
хм;hmm
клане;slaughter
сутрешен;morning
босненски;Bosnian
Q;Q
абат;abbot
дарба;gift
отпадъчен;waste
преодоляване;overcoming
речен;river
be;be
паля;fields
мъчителен;painful
